issueno,month,year,skater,trick,obstacle,detailer,staircount,spot,location,notes,special,soty
280,special issue,2003,john cardiel,fs air,transition,park,,ripon,,13th issue,,
281,january,2004,tony trujillo,fs roll in,transition,roll in,,Seawall,"Chicago, IL",,,
282,february,2004,josh harmony,fs nosegrind,rail,handrail,,Rincon,"Esconsido, CA",,,
283,march,2004,matt mumford,fs crailslide,transition,pool,,,,,,
284,april,2004,mark appleyard,lien air,transition,park,,,,,,soty
285,may,2004,chris dobstaff,bs blunt,rail,handrail,18,La Jolla High School,"San Diego, CA",,,
286,june,2004,corey duffel,bs lipslide,ledge,hubba,10,Oceanside,Oceanside,,,
287,july,2004,ernie torres,fs kickflip,stairs,,5 flat 7,,,,,
288,august,2004,jamie thomas,bs wallride,wall,,,,,window ride,,
289,september,2004,geoff rowley,fs 5050,ledge,bank to ledge,,,,,,
290,october,2004,austin stephens,kickflip,stairs,,4 flat 5,,,,,
291,november,2004,chad bartie,bs blunt,ledge,bank to ledge,,ditch,,,,
292,december,2004,tommy sandoval,fs boardslide,rail,handrail,16,,,,,
293,special issue,2004,tommy sandoval,tre flip,stairs,triple set,3 flat 3 flat 2,,,13th issue,,
294,january,2005,jon allie,kickflip to fs tailslide,ledge,hubba,10,Clipper,"San Francisco, CA",combo,,
295,february,2005,rune glifberg,bs ollie,transition,pool,,,,,,
296,march,2005,paul machnau,bs tailslide,rail,handrail,10,,,,,
297,april,2005,geoff rowley,bs 360,gap,into bank,,ditch,,tilt,,
298,may,2005,danny way,sw bs crook,rail,mega ramp rail,,,,,,soty
299,june,2005,paul rodriguez,sw kickflip to sw bs 5050,ledge,hubba,8,,,combo,,
300,july,2005,,fs nosegrind,art,neckface,,,,neckface,,
301,august,2005,anthony van engelen,sw fs crook,rail,handrail,,,,,,
302,september,2005,rick howard,bs ollie,transition,street transition,,,,,,
303,october,2005,erik ellington,bs lipslide,rail,handrail,4 flat 5,,,,,
304,november,2005,greg lutzka,bs kicklip,gap,channel,,ditch,,,,
305,december,2005,chris cole,bs wallride,wall,,8,,,kotr,,
306,special issue,2005,chet childress,bs nosegrab,transition,bowl,,,,13th issue,,
307,january,2006,mark appleyard,bs ollie,transition,ditch,,ditch,,,,
308,february,2006,jon ponts,fs melon,hip,,,,,,,
309,march,2006,dustin dollin,bs nosegrind,rail,handrail,14,,,,,
310,april,2006,chris cole,kickflip to bs noseslide,rail,handrail,10,,,combo,,soty
311,may,2006,jim greco,bs 5-0,rail,handrail,12,,,,,
312,june,2006,joe goemann,bs hurricane,rail,handrail,4,,,,,
313,july,2006,nick dompierre,ollie,gap,over rail,8 flat 7,dompierre spot,,,,
314,august,2006,tony tave,sw heelflip,stairs,,6 flat 4,,,,,
315,september,2006,keegan sauder,fs tuckknee,transition,bowl,,,,,,
316,october,2006,tommy sandoval,fs nosegrind,rail,handrail,18,La Jolla High School,"San Diego, CA",,,
317,november,2006,leo romero,fs 5050,rail,handrail,3 flat 10,,,,,
318,december,2006,jamie thomas,fs 5050,rail,handrail,12,,,kotr,,
319,special issue,2006,cairo foster,bs 5-0,rail,handrail,,,,13th issue,,
320,january,2007,anthony schultz,tuckknee,gap,,,ditch,,over river - cool,,
321,february,2007,mikey taylor,nollie to fs noseblunt,rail,handrail,10,,,,,
322,march,2007,danny way,fs tailslide,transition,pool,,,,,,
323,april,2007,daewon song,fs air,transition,fullpipe,,,,,,soty
324,may,2007,andrew reynolds,bs kickflip,gap,,,Wallenberg,"San Francisco, CA",,,
325,june,2007,shane cross,bs noseblunt,transition,bowl,,Pizzey Bowl,"QLD, Australia",,,
326,july,2007,windsor james,fs feeble,rail,handrail,13,,,,,
327,august,2007,bob burnquist,fs 5050,rail,into transition,,,,,,
328,september,2007,sierra fellers,kickflip to fs 5050,rail,handrail,11,La Canada High,"Flintwood, CA",combo,,
329,october,2007,corey duffel,bs 5050,rail,handrail,,,,,,
330,november,2007,steve nesser,fs 5050,rail,handrail,51,,,bro what,,
331,december,2007,jake duncombe,tre flip,stairs,,10,,,kotr,,
332,special issue,2007,peter hewitt,fs nosegrab,transition,bowl,,,,13th issue,,
333,january,2008,marc johnson,nose pick,ledge,bank to ledge,,LA River,"Los Angeles, CA",,,soty
334,february,2008,david gonzales,kickflip to fs boardslide,rail,handrail,14,Muirlands Middle School,"San Diego, CA",combo,,
335,march,2008,terry kennedy,fs crook,rail,handrail,10,,,murderer,,
336,april,2008,peter watkins,nose bonk,gap,into bank,,,,,,
337,may,2008,marc johnson,fs boardslide to fakie,rail,,,,,,,
